NTEE CODE LETTER,NTEE CODE DESCRIPTION,NTEE_CD,NTEE CODE TAXONOMY
A,"Arts, Culture and Humanities",A01,Alliance/Advocacy Organizations          
A,"Arts, Culture and Humanities",A02,Management & Technical Assistance        
A,"Arts, Culture and Humanities",A03,"Professional Societies, Associations         "
A,"Arts, Culture and Humanities",A05,Research Institutes and/or Public Policy Analysis      
A,"Arts, Culture and Humanities",A11,Single Organization Support         
A,"Arts, Culture and Humanities",A12,Fund Raising and/or Fund Distribution       
A,"Arts, Culture and Humanities",A19,Nonmonetary Support N.E.C.*         
A,"Arts, Culture and Humanities",A20,"Arts, Cultural Organizations - Multipurpose       "
A,"Arts, Culture and Humanities",A23,"Cultural, Ethnic Awareness         "
A,"Arts, Culture and Humanities",A25,Arts Education          
A,"Arts, Culture and Humanities",A26,Arts Council/Agency          
A,"Arts, Culture and Humanities",A30,"Media, Communications Organizations         "
A,"Arts, Culture and Humanities",A31,"Film, Video          "
A,"Arts, Culture and Humanities",A32,Television           
A,"Arts, Culture and Humanities",A33,"Printing, Publishing          "
A,"Arts, Culture and Humanities",A34,Radio           
A,"Arts, Culture and Humanities",A40,Visual Arts Organizations         
A,"Arts, Culture and Humanities",A50,"Museum, Museum Activities         "
A,"Arts, Culture and Humanities",A51,Art Museums          
A,"Arts, Culture and Humanities",A52,Children's Museums          
A,"Arts, Culture and Humanities",A54,History Museums          
A,"Arts, Culture and Humanities",A56,"Natural History, Natural Science Museums       "
A,"Arts, Culture and Humanities",A57,Science and Technology Museums        
A,"Arts, Culture and Humanities",A60,Performing Arts Organizations         
A,"Arts, Culture and Humanities",A61,Performing Arts Centers         
A,"Arts, Culture and Humanities",A62,Dance           
A,"Arts, Culture and Humanities",A63,Ballet           
A,"Arts, Culture and Humanities",A65,Theater           
A,"Arts, Culture and Humanities",A68,Music           
A,"Arts, Culture and Humanities",A69,Symphony Orchestras          
A,"Arts, Culture and Humanities",A6A,Opera           
A,"Arts, Culture and Humanities",A6B,"Singing, Choral          "
A,"Arts, Culture and Humanities",A6C,"Music Groups, Bands, Ensembles        "
A,"Arts, Culture and Humanities",A6E,Performing Arts Schools         
A,"Arts, Culture and Humanities",A70,Humanities Organizations          
A,"Arts, Culture and Humanities",A80,"Historical Societies, Related Historical Activities       "
A,"Arts, Culture and Humanities",A84,Commemorative Events          
A,"Arts, Culture and Humanities",A90,Arts Service Organizations and Activities       
